Class ID,Preferred_Label
HP:0000001,All
HP:0000002,Abnormality_of_body_height
HP:0000003,Multicystic_kidney_dysplasia
HP:0000004,HP_0000004
HP:0000005,Mode_of_inheritance
HP:0000006,Autosomal_dominant_inheritance
HP:0000007,Autosomal_recessive_inheritance
HP:0000008,Abnormal_morphology_of_female_internal_genitalia
HP:0000009,Functional_abnormality_of_the_bladder
HP:0000010,Recurrent_urinary_tract_infections
HP:0000011,Neurogenic_bladder
HP:0000012,Urinary_urgency
HP:0000013,Hypoplasia_of_the_uterus
HP:0000014,Abnormality_of_the_bladder
HP:0000015,Bladder_diverticulum
HP:0000016,Urinary_retention
HP:0000017,Nocturia
HP:0000018,HP_0000018
HP:0000019,Urinary_hesitancy
HP:0000020,Urinary_incontinence
HP:0000021,Megacystis
HP:0000022,Abnormal_male_internal_genitalia_morphology
HP:0000023,Inguinal_hernia
HP:0000024,Prostatitis
HP:0000025,Functional_abnormality_of_male_internal_genitalia
HP:0000026,Male_hypogonadism
HP:0000027,Azoospermia
HP:0000028,Cryptorchidism
HP:0000029,Testicular_atrophy
HP:0000030,Testicular_gonadoblastoma
HP:0000031,Epididymitis
HP:0000032,Abnormality_of_male_external_genitalia
HP:0000033,Ambiguous_genitalia_male
HP:0000034,Hydrocele_testis
HP:0000035,Abnormal_testis_morphology
HP:0000036,Abnormal_penis_morphology
HP:0000037,Male_pseudohermaphroditism
HP:0000038,HP_0000038
HP:0000039,Epispadias
HP:0000040,Long_penis
HP:0000041,Chordee
HP:0000042,Absent_external_genitalia
HP:0000043,HP_0000043
HP:0000044,Hypogonadotropic_hypogonadism
HP:0000045,Abnormality_of_the_scrotum
HP:0000046,Small_scrotum
HP:0000047,Hypospadias
HP:0000048,Bifid_scrotum
HP:0000049,Shawl_scrotum
HP:0000050,Hypoplastic_male_external_genitalia
HP:0000051,Perineal_hypospadias
HP:0000052,Urethral_atresia_male
HP:0000053,Macroorchidism
HP:0000054,Micropenis
HP:0000055,Abnormality_of_female_external_genitalia
HP:0000056,Abnormality_of_the_clitoris
HP:0000057,obsolete_Clitoromegaly
HP:0000058,Abnormal_labia_morphology
HP:0000059,Hypoplastic_labia_majora
HP:0000060,Clitoral_hypoplasia
HP:0000061,Ambiguous_genitalia_female
HP:0000062,Ambiguous_genitalia
HP:0000063,Fused_labia_minora
HP:0000064,Hypoplastic_labia_minora
HP:0000065,Labial_hypertrophy
HP:0000066,Labial_hypoplasia
HP:0000067,Urethral_atresia_female
HP:0000068,Urethral_atresia
HP:0000069,Abnormality_of_the_ureter
HP:0000070,Ureterocele
HP:0000071,Ureteral_stenosis
HP:0000072,Hydroureter
HP:0000073,Ureteral_duplication
HP:0000074,Ureteropelvic_junction_obstruction
HP:0000075,Renal_duplication
HP:0000076,Vesicoureteral_reflux
HP:0000077,Abnormality_of_the_kidney
HP:0000078,Abnormality_of_the_genital_system
HP:0000079,Abnormality_of_the_urinary_system
HP:0000080,Abnormality_of_reproductive_system_physiology
HP:0000081,Duplicated_collecting_system
HP:0000082,HP_0000082
HP:0000083,Renal_insufficiency
HP:0000084,HP_0000084
HP:0000085,Horseshoe_kidney
HP:0000086,Ectopic_kidney
HP:0000087,HP_0000087
HP:0000088,HP_0000088
HP:0000089,Renal_hypoplasia
HP:0000090,Nephronophthisis
HP:0000091,Abnormal_renal_tubule_morphology
HP:0000092,Renal_tubular_atrophy
HP:0000093,Proteinuria
HP:0000094,HP_0000094
HP:0000095,Abnormal_renal_glomerulus_morphology
HP:0000096,Glomerular_sclerosis
HP:0000097,Focal_segmental_glomerulosclerosis
HP:0000098,Tall_stature
HP:0000099,Glomerulonephritis
HP:0000100,Nephrotic_syndrome
HP:0000101,HP_0000101
HP:0000102,HP_0000102
HP:0000103,Polyuria
HP:0000104,Renal_agenesis
HP:0000105,Enlarged_kidney
HP:0000106,HP_0000106
HP:0000107,Renal_cyst
HP:0000108,Renal_corticomedullary_cysts
HP:0000109,HP_0000109
HP:0000110,Renal_dysplasia
HP:0000111,Renal_juxtaglomerular_cell_hypertrophy_hyperplasia
HP:0000112,Nephropathy
HP:0000113,Polycystic_kidney_dysplasia
HP:0000114,Proximal_tubulopathy
HP:0000115,HP_0000115
HP:0000116,HP_0000116
HP:0000117,Renal_phosphate_wasting
HP:0000118,Phenotypic_abnormality
HP:0000119,Abnormality_of_the_genitourinary_system
HP:0000120,HP_0000120
HP:0000121,Nephrocalcinosis
HP:0000122,Unilateral_renal_agenesis
HP:0000123,Nephritis
HP:0000124,Renal_tubular_dysfunction
HP:0000125,Pelvic_kidney
HP:0000126,Hydronephrosis
HP:0000127,Renal_salt_wasting
HP:0000128,Renal_potassium_wasting
HP:0000129,HP_0000129
HP:0000130,Abnormality_of_the_uterus
HP:0000131,Uterine_leiomyoma
HP:0000132,Menorrhagia
HP:0000133,Gonadal_dysgenesis
HP:0000134,Female_hypogonadism
HP:0000135,Hypogonadism
HP:0000136,Bifid_uterus
HP:0000137,Abnormality_of_the_ovary
HP:0000138,Ovarian_cyst
HP:0000139,Uterine_prolapse
HP:0000140,Abnormality_of_the_menstrual_cycle
HP:0000141,Amenorrhea
HP:0000142,Abnormal_vagina_morphology
HP:0000143,Rectovaginal_fistula
HP:0000144,Decreased_fertility
HP:0000145,Transverse_vaginal_septum
HP:0000146,HP_0000146
HP:0000147,Polycystic_ovaries
HP:0000148,Vaginal_atresia
HP:0000149,Ovarian_gonadoblastoma
HP:0000150,Gonadoblastoma
HP:0000151,Aplasia_of_the_uterus
HP:0000152,Abnormality_of_head_or_neck
HP:0000153,Abnormality_of_the_mouth
HP:0000154,Wide_mouth
HP:0000155,Oral_ulcer
HP:0000156,HP_0000156
HP:0000157,Abnormality_of_the_tongue
HP:0000158,Macroglossia
HP:0000159,Abnormal_lip_morphology
HP:0000160,Narrow_mouth
HP:0000161,Median_cleft_lip
HP:0000162,Glossoptosis
HP:0000163,Abnormal_oral_cavity_morphology
HP:0000164,Abnormality_of_the_dentition
HP:0000165,HP_0000165
HP:0000166,Severe_periodontitis
HP:0000167,HP_0000167
HP:0000168,Abnormality_of_the_gingiva
HP:0000169,Gingival_fibromatosis
HP:0000170,HP_0000170
HP:0000171,Microglossia
HP:0000172,Abnormal_uvula_morphology
HP:0000173,HP_0000173
HP:0000174,Abnormal_palate_morphology
HP:0000175,Cleft_palate
HP:0000176,Submucous_cleft_hard_palate
HP:0000177,Abnormal_upper_lip_morphology
HP:0000178,Abnormal_lower_lip_morphology
HP:0000179,Thick_lower_lip_vermilion
HP:0000180,Lobulated_tongue
HP:0000181,HP_0000181
HP:0000182,Movement_abnormality_of_the_tongue
HP:0000183,Difficulty_in_tongue_movements
HP:0000184,HP_0000184
HP:0000185,Cleft_soft_palate
HP:0000186,HP_0000186
HP:0000187,Broad_alveolar_ridges
HP:0000188,Short_upper_lip
HP:0000189,Narrow_palate
HP:0000190,Abnormal_oral_frenulum_morphology
HP:0000191,Accessory_oral_frenulum
HP:0000192,HP_0000192
HP:0000193,Bifid_uvula
HP:0000194,Open_mouth
HP:0000195,HP_0000195
HP:0000196,Lower_lip_pit
HP:0000197,Abnormal_parotid_gland_morphology
HP:0000198,Absence_of_Stensen_duct
HP:0000199,Tongue_nodules
HP:0000200,Short_lingual_frenulum
HP:0000201,Pierre_Robin_sequence
HP:0000202,Orofacial_cleft
HP:0000203,HP_0000203
HP:0000204,Cleft_upper_lip
HP:0000205,Pursed_lips
HP:0000206,Glossitis
HP:0000207,Triangular_mouth
HP:0000208,HP_0000208
HP:0000209,HP_0000209
HP:0000210,HP_0000210
HP:0000211,Trismus
HP:0000212,Gingival_overgrowth
HP:0000213,HP_0000213
HP:0000214,Lip_telangiectasia
HP:0000215,Thick_upper_lip_vermilion
HP:0000216,Broad_secondary_alveolar_ridge
HP:0000217,Xerostomia
HP:0000218,High_palate
HP:0000219,Thin_upper_lip_vermilion
HP:0000220,Velopharyngeal_insufficiency
HP:0000221,Furrowed_tongue
